type,name,lat,lon,amenity,cuisine,leisure,osm_id
restaurant,Kirkwood Kravingz,33.7509837,-84.3228647,restaurant,,,3129949340
restaurant,Dulce Vegan Bakery and Cafe,33.751345,-84.3223765,restaurant,,,3129949342
restaurant,Paschal's Restaurant,33.7493283,-84.403932,restaurant,,,3192012249
restaurant,C&S Seafood & Oyster Bar,33.8725721,-84.457611,restaurant,seafood,,3197293973
restaurant,Pho 24,33.877578,-84.293348,restaurant,vietnamese,,3261049161
restaurant,Grub Burger Bar,33.8812082,-84.4602428,restaurant,burger,,3266118859
restaurant,Blaze Pizza,33.8827961,-84.4619625,restaurant,pizza,,3289281720
restaurant,Top Spice,33.8810111,-84.4584136,restaurant,thai;malaysian,,3290573153
restaurant,Zucca Bar & Pizzeria,33.883747,-84.5147305,restaurant,pizza,,3330207993
restaurant,Hobnob Neighborhood Tavern,33.87078,-84.336713,restaurant,,,3337081293
restaurant,Varuni Napoli,33.79656,-84.368756,restaurant,pizza,,3337102893
restaurant,Sweet Monkey,33.801185,-84.327449,restaurant,yogurt,,3360404393
restaurant,Hoki Japanese Restaurant,33.872428,-84.4578726,restaurant,japanese,,3383890917
restaurant,Sean's Harvest Market,33.7971809,-84.388117,restaurant,,,3394631304
restaurant,Willy's Mexicana Grill,33.7511907,-84.3854161,restaurant,mexican,,3395223194
restaurant,Brasserie Lundi,33.7925242,-84.3860672,restaurant,french,,3398654312
restaurant,The Pig & The Pearl,33.7933807,-84.3977011,restaurant,american,,3401099035
restaurant,Chin Chin Chinese Cuisine & Sushi,33.8839245,-84.474157,restaurant,asian,,3414649728
restaurant,Bobby's Burger Palace,33.6423582,-84.43601,restaurant,burger,,3441653091
restaurant,One Flew South,33.6409423,-84.4258015,restaurant,sushi,,3448635977
restaurant,TGI Friday's,33.640346,-84.4251718,restaurant,american,,3448635979
restaurant,Yumm Teriyaki,33.752256,-84.3921578,restaurant,japanese,,3499564754
restaurant,Melinated Cafe,33.7502096,-84.3952853,restaurant,american;mexican,,3517775855
restaurant,So Ba Vietnamese Restaurant,33.7394468,-84.3456597,restaurant,vietnamese,,3551242292
restaurant,Delia's Chicken Sausage Stand,33.7408,-84.3496169,restaurant,,,3551718425
restaurant,Blu Cantina,33.7403365,-84.3468838,restaurant,mexican,,3551732988
restaurant,Spoon EastSide,33.7336833,-84.3498675,restaurant,,,3564217654
restaurant,Sushi Matsuya,33.8158569,-84.3128946,restaurant,japanese,,3599558410
restaurant,Napoleon's Grill,33.825735,-84.290597,restaurant,american,,3601380593
restaurant,Crazy Cuban,33.7860199,-84.3965325,restaurant,cuban,,3676747880
restaurant,Fred's Meat & Bread,33.7568609,-84.3639728,restaurant,sandwich,,3681452517
restaurant,Casseroles To Go,33.792155,-84.352177,restaurant,american,,3690369926
restaurant,Twisted Soul Cookhouse & Pours,33.7892146,-84.4252648,restaurant,southern;brunch,,3695986247
restaurant,Bartaco,33.8651838,-84.4675438,restaurant,mexican,,3797629214
restaurant,Mellow Mushroom,33.8650779,-84.467714,restaurant,pizza,,3797629215
restaurant,Bon Ton,33.772956,-84.3803812,restaurant,seafood;fusion;vietnamese;cajun,,3827911857
restaurant,Orange Opt,33.6409612,-84.4291683,restaurant,,,3839586391
restaurant,Phillips seafood,33.640964,-84.4290505,restaurant,,,3839586513
restaurant,Pera Bistro,33.8116833,-84.4244442,restaurant,mediterranean,,3919711354
restaurant,1201 Restaurant,33.8116286,-84.425045,restaurant,american,,3919726884
restaurant,Marlow's Tavern,33.8594159,-84.4807558,restaurant,,,4000554428
restaurant,Whitehall Tavern,33.8201785,-84.3876576,restaurant,american,,4081416779
restaurant,Pasta Vino,33.8201657,-84.3874384,restaurant,italian,,4081418996
restaurant,Valenza,33.860733,-84.329992,restaurant,italian,,4175070892
restaurant,Gus's Fried Chicken,33.7599188,-84.3862224,restaurant,chicken,,4241446983
restaurant,BoccaLupa,33.7547752,-84.3627599,restaurant,italian,,4262432590
restaurant,Unknown,33.7572359,-84.3541153,restaurant,,,4263220525
restaurant,Lady Bird,33.759606,-84.3642227,restaurant,american,,4286876987
restaurant,Sushi Avenue,33.7744632,-84.2958145,restaurant,japanese,,4322881275
restaurant,Atlanta Hawks Bar & Grill,33.6436938,-84.4392094,restaurant,american,,4373731823
restaurant,Wings 101,33.8262408,-84.3660979,restaurant,,,4392934439
restaurant,Tech Taco,33.7818628,-84.404636,restaurant,,,4428436126
restaurant,Terrapin Tap House Cigar and Smoke Lounge,33.6408396,-84.4289266,restaurant,american,,4522301294
restaurant,Cafe Antico,33.7842093,-84.4054069,restaurant,italian;pizza,,4531981878
restaurant,Sophie's Uptown,33.8369398,-84.3834689,restaurant,deli,,4631404113
restaurant,The Cookie Studio,33.836965,-84.3829365,restaurant,bakery,,4631404114
restaurant,Brio,33.8357022,-84.3824517,restaurant,italian,,4643468352
restaurant,Raja Indian,33.8354932,-84.3817177,restaurant,indian,,4643468363
restaurant,Lee's Bakery,33.8600468,-84.3089377,restaurant,,,4654064932
restaurant,Canton Buddha,33.8343479,-84.3836959,restaurant,chinese,,4664879359
restaurant,Barberitos,33.833732,-84.3843117,restaurant,mexican,,4664879363
restaurant,Your Pie,33.8397525,-84.3804246,restaurant,pizza,,4664879369
restaurant,King + Duke,33.8392219,-84.3807154,restaurant,american,,4664879370
restaurant,American Cut,33.8373609,-84.3810406,restaurant,steak_house,,4664879373
restaurant,Le Bilboquet,33.837676,-84.3803391,restaurant,french,,4664879374
restaurant,Cacao Buckhead,33.8378419,-84.3808305,restaurant,,,4664879375
restaurant,The Southern Gentleman,33.8378962,-84.3807137,restaurant,,,4664879376
restaurant,Gypsy Kitchen,33.837838,-84.380674,restaurant,,,4664879377
restaurant,Maggiano's Little Italy,33.8481716,-84.3673571,restaurant,american;italian,,4705937286
restaurant,Tupelo Honey Café,33.8796167,-84.3801792,restaurant,,,4708563492
restaurant,9th Ave Street Food,33.7727527,-84.3781422,restaurant,,,4730497342
restaurant,Terrapin Taproom,33.8898437,-84.4685547,restaurant,,,4764844941
restaurant,Yard House,33.8892982,-84.4690812,restaurant,american,,4789326286
restaurant,La Fonda Latina,33.7512325,-84.3099064,restaurant,mexican;cuban,,4802525752
restaurant,Poor Hendrix,33.7510005,-84.3095202,restaurant,,,4802525753
restaurant,Superica,33.7571021,-84.3641809,restaurant,mexican,,4879481767
restaurant,Yalla,33.756806,-84.3639731,restaurant,,,4879481768
restaurant,Grand Champion BBQ,33.756661,-84.363988,restaurant,barbecue,,4879481769
restaurant,Zumi,33.7611889,-84.3652346,restaurant,sushi,,4879481800
restaurant,Olive Bistro,33.7739564,-84.3658702,restaurant,mediterranean,,4879481804
restaurant,Metro Fresh,33.780234,-84.368361,restaurant,sandwich,,4879481810
restaurant,Chin Chin II On Ponce,33.7731434,-84.3639938,restaurant,chinese,,4879481812
restaurant,Jia,33.7728967,-84.365937,restaurant,chinese,,4879481816
restaurant,Delta Skyclub Lounge,33.6409608,-84.4388357,restaurant,,,4920519122
restaurant,Delta Skyclub Lounge,33.6404048,-84.4391068,restaurant,,,4920521124
restaurant,Delta Skyclub Lounge,33.641875,-84.4325068,restaurant,,,4920534421
restaurant,Delta Skyclub Lounge,33.6419262,-84.4292508,restaurant,,,4920540821
restaurant,Delta Skyclub Lounge,33.6402411,-84.4199815,restaurant,,,4920540822
